individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,null,true,null,null,9,null,true,null,null,false,true,null,true,4,7,false,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,8,true,false,rmse,CompetenceBasedAggregator,null,null,8,2,2,8,null,null,false,null,null,false,null,0.9975966585213507,-DecisionTable -I -X 9 -E rmse -S weka.attributeSelection.GreedyStepwise -PART -J -M 7 -R -Q 1 -doNotMakeSplitPointActualValue -N 8 -SimpleCart -C 1.0 -S 1 -M 8 -N 8 -Aggregator CompetenceBasedAggregator -JRip -E -N 2 -O 4 -F 2 
gen_000_ind_000,false,null,true,null,null,9,null,true,null,null,false,true,null,true,4,7,false,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,8,true,false,rmse,CompetenceBasedAggregator,null,null,8,2,2,8,null,null,false,null,null,false,null,null,-DecisionTable -I -X 9 -E rmse -S weka.attributeSelection.GreedyStepwise -PART -J -M 7 -R -Q 1 -doNotMakeSplitPointActualValue -N 8 -SimpleCart -C 1.0 -S 1 -M 8 -N 8 -Aggregator CompetenceBasedAggregator -JRip -E -N 2 -O 4 -F 2 
gen_000_ind_001,true,unpruned,true,null,0.15,1,true,true,2,1,true,true,null,true,1,4,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,8,false,false,auc,CompetenceBasedAggregator,true,true,6,10,7,null,false,null,null,false,5,null,null,null,-DecisionTable -I -X 1 -E auc -S weka.attributeSelection.BestFirst -PART -M 4 -C 0.15 -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -H -M 6 -N 8 -Aggregator CompetenceBasedAggregator -BestFirst -N 1 -D 2 -JRip -N 10 -O 1 -F 7 -J48 -J -U -B -M 5 -A 
gen_000_ind_002,true,unpruned,false,null,null,1,true,true,null,null,true,true,null,true,4,2,null,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,auc,CompetenceBasedAggregator,false,true,5,8,10,4,true,null,true,false,7,true,null,null,-DecisionTable -I -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -M 2 -R -Q 1 -N 4 -SimpleCart -U -M 5 -Aggregator CompetenceBasedAggregator -JRip -N 8 -O 4 -F 10 -J48 -U -B -M 7 
gen_000_ind_003,false,reducedErrorPruning,true,false,null,5,true,true,null,null,true,true,null,false,9,null,false,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,10,false,null,rmse,CompetenceBasedAggregator,true,false,8,8,2,null,true,4,false,false,7,false,null,null,-DecisionTable -X 5 -E rmse -S weka.attributeSelection.GreedyStepwise -SimpleCart -C 1.0 -S 1 -H -M 8 -N 10 -Aggregator CompetenceBasedAggregator -JRip -E -N 8 -O 9 -F 2 -J48 -R -Q 1 -B -M 7 -A -O -N 4 -S 
gen_000_ind_004,true,confidenceFactor,false,false,0.25,null,false,true,null,null,true,false,0.05,true,null,5,null,confidenceFactor,null,false,false,null,false,true,null,false,true,null,RuleExtractorAggregator,false,true,5,2,null,null,true,null,null,true,5,null,null,null,-PART -J -M 5 -B -C 0.25 -SimpleCart -U -H -M 5 -Aggregator RuleExtractorAggregator -JRip -N 2 -P -J48 -doNotMakeSplitPointActualValue -C 0.05 -M 5 -S 
gen_000_ind_005,null,confidenceFactor,true,false,null,10,false,false,null,null,true,true,0.25,true,null,3,true,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,5,true,true,rmse,CompetenceBasedAggregator,true,false,2,null,null,7,true,null,true,false,2,true,null,null,-DecisionTable -X 10 -E rmse -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -M 3 -B -R -Q 1 -N 7 -SimpleCart -C 1.0 -S 1 -M 2 -N 5 -A -Aggregator CompetenceBasedAggregator -J48 -C 0.25 -M 2 -A -O -S 
gen_000_ind_006,true,unpruned,false,null,null,1,false,true,2,5,true,true,null,true,null,5,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,mae,CompetenceBasedAggregator,false,false,3,8,null,6,true,null,null,false,2,null,null,null,-DecisionTable -X 1 -E mae -S weka.attributeSelection.BestFirst -PART -M 5 -R -Q 1 -N 6 -SimpleCart -U -H -M 3 -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 2 -JRip -N 8 -P -J48 -U -M 2 -O 
gen_000_ind_007,false,null,false,null,0.35,7,null,true,0,1,false,true,null,true,10,3,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,null,false,false,acc,MajorityVotingAggregator,null,null,10,4,2,null,null,null,null,null,null,null,null,null,-DecisionTable -X 7 -E acc -S weka.attributeSelection.BestFirst -PART -J -M 3 -C 0.35 -SimpleCart -U -H -M 10 -Aggregator MajorityVotingAggregator -BestFirst -N 1 -D 0 -JRip -E -N 4 -O 10 -F 2 
gen_000_ind_008,true,null,false,null,0.45,9,null,true,null,null,false,true,null,true,null,8,null,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,acc,MajorityVotingAggregator,null,null,7,7,null,null,null,null,false,null,null,false,null,null,-DecisionTable -X 9 -E acc -S weka.attributeSelection.GreedyStepwise -PART -J -M 8 -B -C 0.45 -doNotMakeSplitPointActualValue -SimpleCart -U -M 7 -Aggregator MajorityVotingAggregator -JRip -N 7 -P 
gen_000_ind_009,true,confidenceFactor,false,false,null,10,true,true,1,2,true,true,0.25,true,8,5,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,true,true,3,9,2,null,true,null,null,true,2,null,null,null,-DecisionTable -X 10 -E auc -S weka.attributeSelection.BestFirst -PART -M 5 -U -SimpleCart -U -M 3 -Aggregator MajorityVotingAggregator -BestFirst -N 2 -D 1 -JRip -N 9 -O 8 -F 2 -J48 -doNotMakeSplitPointActualValue -C 0.25 -B -M 2 -A -S 
gen_000_ind_010,true,confidenceFactor,true,true,0.15,6,true,true,0,5,true,true,0.25,true,2,5,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,4,true,false,acc,CompetenceBasedAggregator,true,false,9,8,9,null,true,null,null,false,8,null,null,null,-DecisionTable -X 6 -E acc -S weka.attributeSelection.BestFirst -PART -M 5 -C 0.15 -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 9 -N 4 -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -JRip -N 8 -O 2 -F 9 -J48 -C 0.25 -B -M 8 -A -O 
gen_000_ind_011,false,confidenceFactor,true,false,null,6,true,true,null,null,true,true,0.45,true,null,5,false,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,auc,RuleExtractorAggregator,false,false,9,7,null,10,false,null,false,true,5,false,null,null,-DecisionTable -I -X 6 -E auc -S weka.attributeSelection.GreedyStepwise -PART -J -M 5 -R -Q 1 -N 10 -SimpleCart -C 1.0 -S 1 -M 9 -N 5 -Aggregator RuleExtractorAggregator -JRip -E -N 7 -P -J48 -J -doNotMakeSplitPointActualValue -C 0.45 -B -M 5 -O -S 
gen_000_ind_012,false,unpruned,true,null,null,5,false,true,2,4,true,true,null,true,null,2,true,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,false,true,8,true,false,mae,RuleExtractorAggregator,false,true,8,4,null,9,true,null,null,false,6,null,null,null,-DecisionTable -I -X 5 -E mae -S weka.attributeSelection.BestFirst -PART -J -M 2 -R -Q 1 -N 9 -SimpleCart -C 1.0 -S 1 -M 8 -N 8 -A -Aggregator RuleExtractorAggregator -BestFirst -N 4 -D 2 -JRip -E -N 4 -P -J48 -U -M 6 
gen_000_ind_013,null,reducedErrorPruning,true,true,0.45,null,false,false,null,null,true,false,null,true,null,9,true,confidenceFactor,null,null,false,null,false,true,6,false,true,null,RuleExtractorAggregator,true,false,4,null,null,null,false,3,null,true,2,null,null,null,-PART -J -M 9 -B -C 0.45 -SimpleCart -C 1.0 -S 1 -H -M 4 -N 6 -A -Aggregator RuleExtractorAggregator -J48 -J -doNotMakeSplitPointActualValue -R -Q 1 -M 2 -A -O -N 3 
gen_000_ind_014,true,reducedErrorPruning,true,true,null,6,false,true,2,4,true,true,null,true,null,4,true,unpruned,true,false,false,weka.attributeSelection.BestFirst,true,true,8,true,true,auc,RuleExtractorAggregator,false,true,4,2,null,null,false,6,null,true,10,null,null,null,-DecisionTable -I -X 6 -E auc -S weka.attributeSelection.BestFirst -PART -J -M 4 -B -U -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 4 -N 8 -A -Aggregator RuleExtractorAggregator -BestFirst -N 4 -D 2 -JRip -N 2 -P -J48 -J -doNotMakeSplitPointActualValue -R -Q 1 -M 10 -N 6 
gen_000_ind_015,true,unpruned,false,null,null,6,true,true,1,6,true,true,null,true,7,8,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,CompetenceBasedAggregator,false,false,9,2,2,7,true,null,null,false,3,null,null,null,-DecisionTable -I -X 6 -E auc -S weka.attributeSelection.BestFirst -PART -M 8 -R -Q 1 -N 7 -SimpleCart -U -H -M 9 -Aggregator CompetenceBasedAggregator -BestFirst -N 6 -D 1 -JRip -N 2 -O 7 -F 2 -J48 -U -B -M 3 -O 
gen_000_ind_016,true,confidenceFactor,true,true,null,1,false,true,2,5,true,true,0.05,true,8,9,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,9,true,false,auc,RuleExtractorAggregator,false,false,5,2,10,7,true,null,null,false,2,null,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.BestFirst -PART -M 9 -R -Q 1 -doNotMakeSplitPointActualValue -N 7 -SimpleCart -C 1.0 -S 1 -M 5 -N 9 -A -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 2 -JRip -N 2 -O 8 -F 10 -J48 -C 0.05 -M 2 -O 
gen_000_ind_017,false,reducedErrorPruning,false,true,null,6,true,true,null,null,true,true,null,true,2,9,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,MajorityVotingAggregator,true,false,5,3,5,6,true,6,true,true,7,false,null,null,-DecisionTable -X 6 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -J -M 9 -R -Q 1 -N 6 -SimpleCart -U -H -M 5 -Aggregator MajorityVotingAggregator -JRip -E -N 3 -O 2 -F 5 -J48 -doNotMakeSplitPointActualValue -R -Q 1 -B -M 7 -A -O -N 6 
gen_000_ind_018,false,unpruned,true,null,null,3,true,true,1,10,true,true,null,true,null,3,true,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,8,false,false,rmse,CompetenceBasedAggregator,false,false,9,6,null,7,true,null,null,false,10,null,null,null,-DecisionTable -X 3 -E rmse -S weka.attributeSelection.BestFirst -PART -M 3 -R -Q 1 -N 7 -SimpleCart -C 1.0 -S 1 -H -M 9 -N 8 -A -Aggregator CompetenceBasedAggregator -BestFirst -N 10 -D 1 -JRip -E -N 6 -P -J48 -U -B -M 10 -O 
gen_000_ind_019,null,reducedErrorPruning,false,true,null,1,false,false,null,null,true,true,null,true,null,4,null,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,mae,CompetenceBasedAggregator,false,true,2,null,null,10,true,9,true,false,7,true,null,null,-DecisionTable -X 1 -E mae -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -M 4 -B -R -Q 1 -doNotMakeSplitPointActualValue -N 10 -SimpleCart -U -M 2 -Aggregator CompetenceBasedAggregator -J48 -R -Q 1 -M 7 -N 9 
gen_000_ind_020,false,unpruned,true,null,null,8,true,true,null,null,true,true,null,true,10,8,false,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,7,true,false,auc,RuleExtractorAggregator,false,true,6,3,4,6,false,null,true,true,2,false,null,null,-DecisionTable -I -X 8 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 8 -R -Q 1 -N 6 -SimpleCart -C 1.0 -S 1 -M 6 -N 7 -Aggregator RuleExtractorAggregator -JRip -E -N 3 -O 10 -F 4 -J48 -J -doNotMakeSplitPointActualValue -U -B -M 2 
gen_000_ind_021,true,confidenceFactor,true,true,null,1,false,true,2,5,true,true,0.25,true,6,8,true,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,4,true,true,auc,CompetenceBasedAggregator,true,true,4,2,6,10,true,null,null,false,4,null,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.BestFirst -PART -J -M 8 -B -R -Q 1 -N 10 -SimpleCart -C 1.0 -S 1 -M 4 -N 4 -A -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 2 -JRip -N 2 -O 6 -F 6 -J48 -C 0.25 -M 4 -A 
gen_000_ind_022,false,null,false,null,null,6,null,true,2,5,false,true,null,true,3,10,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,null,null,4,10,5,3,null,null,null,null,null,null,null,null,-DecisionTable -I -X 6 -E auc -S weka.attributeSelection.BestFirst -PART -M 10 -R -Q 1 -N 3 -SimpleCart -U -M 4 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 2 -JRip -E -N 10 -O 3 -F 5 
gen_000_ind_023,true,null,true,null,null,9,null,true,null,null,false,true,null,true,2,4,true,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,5,true,false,auc,CompetenceBasedAggregator,null,null,2,4,2,null,null,null,true,null,null,true,null,null,-DecisionTable -I -X 9 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -J -M 4 -U -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 2 -N 5 -A -Aggregator CompetenceBasedAggregator -JRip -N 4 -O 2 -F 2 
gen_000_ind_024,true,confidenceFactor,false,false,0.15,6,true,true,null,null,true,true,0.15,true,10,2,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,acc,CompetenceBasedAggregator,false,true,8,6,6,null,true,null,false,true,7,true,null,null,-DecisionTable -X 6 -E acc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -M 2 -C 0.15 -doNotMakeSplitPointActualValue -SimpleCart -U -M 8 -Aggregator CompetenceBasedAggregator -JRip -N 6 -O 10 -F 6 -J48 -doNotMakeSplitPointActualValue -C 0.15 -B -M 7 -S 
gen_000_ind_025,true,reducedErrorPruning,true,true,null,7,true,true,2,2,true,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.BestFirst,null,true,4,false,null,acc,CompetenceBasedAggregator,true,false,6,2,null,null,true,2,null,true,7,null,null,null,-DecisionTable -X 7 -E acc -S weka.attributeSelection.BestFirst -SimpleCart -C 1.0 -S 1 -H -M 6 -N 4 -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 2 -JRip -N 2 -P -J48 -doNotMakeSplitPointActualValue -R -Q 1 -B -M 7 -A -O -N 2 
gen_000_ind_026,true,confidenceFactor,true,true,null,6,true,true,0,4,true,true,0.45,true,null,9,true,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,false,true,3,false,false,mae,RuleExtractorAggregator,false,false,10,9,null,3,true,null,null,false,2,null,null,null,-DecisionTable -I -X 6 -E mae -S weka.attributeSelection.BestFirst -PART -J -M 9 -R -Q 1 -N 3 -SimpleCart -C 1.0 -S 1 -H -M 10 -N 3 -A -Aggregator RuleExtractorAggregator -BestFirst -N 4 -D 0 -JRip -N 9 -P -J48 -C 0.45 -B -M 2 -O 
gen_000_ind_027,false,reducedErrorPruning,null,false,0.35,9,false,true,null,null,true,true,null,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,auc,RuleExtractorAggregator,true,false,null,8,null,null,true,8,true,true,9,true,null,null,-DecisionTable -X 9 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -M 2 -C 0.35 -Aggregator RuleExtractorAggregator -JRip -E -N 8 -P -J48 -doNotMakeSplitPointActualValue -R -Q 1 -M 9 -A -O -N 8 -S 
gen_000_ind_028,true,null,null,null,0.25,1,null,true,null,null,false,true,null,true,6,3,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,auc,MajorityVotingAggregator,null,null,null,7,3,null,null,null,true,null,null,true,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -M 3 -C 0.25 -doNotMakeSplitPointActualValue -Aggregator MajorityVotingAggregator -JRip -N 7 -O 6 -F 3 
gen_000_ind_029,true,confidenceFactor,true,false,null,7,true,true,null,null,true,true,0.15,true,null,10,false,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,5,false,false,mae,RuleExtractorAggregator,true,true,3,2,null,null,true,null,true,false,4,false,null,null,-DecisionTable -X 7 -E mae -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 10 -U -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -H -M 3 -N 5 -Aggregator RuleExtractorAggregator -JRip -N 2 -P -J48 -C 0.15 -B -M 4 -A -S 
gen_000_ind_030,true,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.25,false,8,null,null,null,null,true,null,null,null,true,null,false,null,null,RuleExtractorAggregator,false,true,6,7,2,null,true,null,null,true,6,null,null,null,-SimpleCart -U -H -M 6 -Aggregator RuleExtractorAggregator -JRip -N 7 -O 8 -F 2 -J48 -doNotMakeSplitPointActualValue -C 0.25 -M 6 
gen_000_ind_031,false,unpruned,null,null,null,5,false,true,2,7,true,true,null,true,null,10,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,false,true,null,6,null,null,true,null,null,false,9,null,null,null,-DecisionTable -X 5 -E auc -S weka.attributeSelection.BestFirst -PART -M 10 -U -Aggregator MajorityVotingAggregator -BestFirst -N 7 -D 2 -JRip -E -N 6 -P -J48 -U -M 9 
gen_000_ind_032,false,confidenceFactor,true,true,null,1,false,true,null,null,true,true,0.25,true,6,8,false,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,5,true,true,auc,CompetenceBasedAggregator,true,false,5,2,4,null,false,null,true,false,2,false,null,null,-DecisionTable -I -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -J -M 8 -B -U -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 5 -N 5 -Aggregator CompetenceBasedAggregator -JRip -E -N 2 -O 6 -F 4 -J48 -J -C 0.25 -M 2 -A -O 
gen_000_ind_033,false,unpruned,false,null,null,2,true,true,0,5,true,true,null,true,null,9,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,CompetenceBasedAggregator,false,true,6,7,null,3,false,null,null,false,2,null,null,null,-DecisionTable -X 2 -E auc -S weka.attributeSelection.BestFirst -PART -M 9 -B -R -Q 1 -N 3 -SimpleCart -U -H -M 6 -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -JRip -E -N 7 -P -J48 -J -U -B -M 2 
gen_000_ind_034,false,unpruned,true,null,0.15,10,true,true,1,3,true,true,null,true,null,2,false,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,10,false,true,auc,RuleExtractorAggregator,false,false,7,8,null,null,false,null,null,false,5,null,null,null,-DecisionTable -X 10 -E auc -S weka.attributeSelection.BestFirst -PART -J -M 2 -B -C 0.15 -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -H -M 7 -N 10 -Aggregator RuleExtractorAggregator -BestFirst -N 3 -D 1 -JRip -E -N 8 -P -J48 -J -U -B -M 5 -O 
gen_000_ind_035,true,reducedErrorPruning,true,true,null,1,false,true,0,10,true,true,null,true,5,2,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,6,false,false,acc,CompetenceBasedAggregator,false,false,9,3,3,4,false,3,null,true,4,null,null,null,-DecisionTable -X 1 -E acc -S weka.attributeSelection.BestFirst -PART -M 2 -R -Q 1 -doNotMakeSplitPointActualValue -N 4 -SimpleCart -C 1.0 -S 1 -H -M 9 -N 6 -A -Aggregator CompetenceBasedAggregator -BestFirst -N 10 -D 0 -JRip -N 3 -O 5 -F 3 -J48 -J -doNotMakeSplitPointActualValue -R -Q 1 -M 4 -O -N 3 
gen_000_ind_036,null,confidenceFactor,true,true,null,2,true,false,null,null,true,true,0.45,true,null,10,false,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,8,false,true,rmse,MajorityVotingAggregator,true,true,6,null,null,2,false,null,true,false,8,false,null,null,-DecisionTable -X 2 -E rmse -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 10 -B -R -Q 1 -N 2 -SimpleCart -C 1.0 -S 1 -H -M 6 -N 8 -Aggregator MajorityVotingAggregator -J48 -J -C 0.45 -B -M 8 -A 
gen_000_ind_037,false,reducedErrorPruning,false,true,null,4,false,true,1,5,true,true,null,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,false,null,mae,RuleExtractorAggregator,false,false,10,7,null,null,true,4,null,false,2,null,null,null,-DecisionTable -X 4 -E mae -S weka.attributeSelection.BestFirst -SimpleCart -U -H -M 10 -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 1 -JRip -E -N 7 -P -J48 -R -Q 1 -M 2 -O -N 4 
gen_000_ind_038,null,reducedErrorPruning,false,true,0.05,1,false,false,null,null,true,true,null,true,null,6,null,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,auc,RuleExtractorAggregator,false,true,7,null,null,null,true,3,true,true,4,false,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 6 -B -C 0.05 -doNotMakeSplitPointActualValue -SimpleCart -U -M 7 -Aggregator RuleExtractorAggregator -J48 -doNotMakeSplitPointActualValue -R -Q 1 -M 4 -N 3 
gen_000_ind_039,false,confidenceFactor,false,false,null,3,true,true,0,7,true,true,0.25,true,3,5,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,null,true,true,rmse,CompetenceBasedAggregator,false,true,7,3,3,null,false,null,null,false,2,null,null,null,-DecisionTable -I -X 3 -E rmse -S weka.attributeSelection.BestFirst -PART -M 5 -B -U -doNotMakeSplitPointActualValue -SimpleCart -U -M 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 7 -D 0 -JRip -E -N 3 -O 3 -F 3 -J48 -J -C 0.25 -B -M 2 -S 
gen_000_ind_040,false,unpruned,false,null,null,10,true,true,2,6,true,true,null,true,2,3,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,CompetenceBasedAggregator,false,true,7,4,10,null,false,null,null,false,4,null,null,null,-DecisionTable -X 10 -E rmse -S weka.attributeSelection.BestFirst -PART -J -M 3 -U -SimpleCart -U -M 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 6 -D 2 -JRip -E -N 4 -O 2 -F 10 -J48 -J -U -B -M 4 
gen_000_ind_041,false,confidenceFactor,false,false,null,7,false,true,1,4,true,true,0.35,true,1,8,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,CompetenceBasedAggregator,true,true,3,6,2,null,true,null,null,false,10,null,null,null,-DecisionTable -X 7 -E rmse -S weka.attributeSelection.BestFirst -PART -J -M 8 -U -SimpleCart -U -M 3 -Aggregator CompetenceBasedAggregator -BestFirst -N 4 -D 1 -JRip -E -N 6 -O 1 -F 2 -J48 -C 0.35 -M 10 -A -S 
gen_000_ind_042,null,null,true,null,null,2,null,false,1,4,false,true,null,true,null,3,false,unpruned,true,null,false,weka.attributeSelection.BestFirst,true,true,5,true,false,acc,CompetenceBasedAggregator,null,null,6,null,null,null,null,null,null,null,null,null,null,null,-DecisionTable -I -X 2 -E acc -S weka.attributeSelection.BestFirst -PART -J -M 3 -U -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 6 -N 5 -Aggregator CompetenceBasedAggregator -BestFirst -N 4 -D 1 
gen_000_ind_043,null,confidenceFactor,true,true,0.05,2,false,false,1,2,true,true,0.45,true,null,5,false,confidenceFactor,true,null,false,weka.attributeSelection.BestFirst,false,true,7,false,true,auc,CompetenceBasedAggregator,false,false,2,null,null,null,false,null,null,true,4,null,null,null,-DecisionTable -I -X 2 -E auc -S weka.attributeSelection.BestFirst -PART -J -M 5 -B -C 0.05 -SimpleCart -C 1.0 -S 1 -H -M 2 -N 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 1 -J48 -J -doNotMakeSplitPointActualValue -C 0.45 -M 4 -O 
gen_000_ind_044,true,reducedErrorPruning,null,true,null,2,true,true,1,8,true,true,null,true,4,3,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,false,null,null,false,rmse,MajorityVotingAggregator,false,true,null,4,7,null,false,8,null,false,7,null,null,null,-DecisionTable -X 2 -E rmse -S weka.attributeSelection.BestFirst -PART -M 3 -U -doNotMakeSplitPointActualValue -Aggregator MajorityVotingAggregator -BestFirst -N 8 -D 1 -JRip -N 4 -O 4 -F 7 -J48 -J -R -Q 1 -B -M 7 -N 8 
gen_000_ind_045,null,unpruned,true,null,0.15,7,false,false,1,5,true,true,null,true,null,9,false,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,6,false,true,auc,MajorityVotingAggregator,true,true,2,null,null,null,true,null,null,true,9,null,null,null,-DecisionTable -X 7 -E auc -S weka.attributeSelection.BestFirst -PART -M 9 -B -C 0.15 -SimpleCart -C 1.0 -S 1 -H -M 2 -N 6 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 1 -J48 -doNotMakeSplitPointActualValue -U -M 9 -A 
gen_000_ind_046,true,confidenceFactor,false,false,0.25,9,true,true,null,null,true,true,0.05,true,null,4,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,rmse,CompetenceBasedAggregator,false,false,5,9,null,null,false,null,true,true,2,false,null,null,-DecisionTable -X 9 -E rmse -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 4 -B -C 0.25 -SimpleCart -U -M 5 -Aggregator CompetenceBasedAggregator -JRip -N 9 -P -J48 -J -doNotMakeSplitPointActualValue -C 0.05 -B -M 2 -O -S 
