individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,false,null,null,2,false,true,2,3,true,true,null,false,5,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,rmse,MajorityVotingAggregator,true,false,2,7,10,null,true,null,null,false,6,null,null,0.987109658678286
overall,false,confidenceFactor,false,false,null,8,true,true,null,null,true,true,0.35,false,8,null,null,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,acc,CompetenceBasedAggregator,false,false,2,9,6,null,false,null,true,true,2,false,null,0.987109658678286
gen_000_ind_000,true,confidenceFactor,true,true,null,1,false,true,0,3,true,true,0.15,false,null,null,false,null,true,false,null,weka.attributeSelection.BestFirst,null,true,10,false,null,auc,RuleExtractorAggregator,true,true,5,6,null,null,true,null,null,false,2,null,0.9981784737458703,null
gen_000_ind_001,true,reducedErrorPruning,false,false,null,9,true,true,null,null,true,true,null,true,3,8,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,RuleExtractorAggregator,true,true,7,4,6,8,false,2,true,false,10,false,0.9947820714652517,null
gen_000_ind_002,true,reducedErrorPruning,true,true,0.45,8,false,true,null,null,true,true,null,true,1,10,true,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,6,true,false,auc,CompetenceBasedAggregator,false,false,2,2,3,null,true,4,false,false,9,false,0.9993157946722085,null
gen_000_ind_003,false,confidenceFactor,false,true,null,8,true,true,1,6,true,true,0.35,true,4,2,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,false,true,4,2,4,7,false,null,null,true,2,null,0.9995379530681114,null
gen_000_ind_004,false,confidenceFactor,false,false,null,null,true,true,null,null,true,false,0.15,true,null,2,null,unpruned,null,false,true,null,false,true,null,true,false,null,CompetenceBasedAggregator,true,false,6,2,null,null,true,null,null,true,8,null,0.9992544922051083,null
gen_000_ind_005,true,reducedErrorPruning,false,true,null,3,false,true,1,1,true,true,null,true,5,2,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,null,false,false,rmse,MajorityVotingAggregator,false,false,5,4,8,null,true,4,null,true,7,null,0.9992788466383761,null
gen_000_ind_006,true,confidenceFactor,true,false,null,9,true,true,null,null,true,true,0.15,true,null,7,true,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,7,true,false,auc,MajorityVotingAggregator,true,false,5,2,null,3,true,null,false,false,4,false,0.9992933620272583,null
gen_000_ind_007,false,confidenceFactor,false,true,null,6,false,true,2,1,true,true,0.05,true,5,9,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,true,true,9,4,7,6,false,null,null,false,3,null,0.9991908310699815,null
gen_000_ind_008,null,unpruned,false,null,null,10,false,false,0,9,true,true,null,true,null,10,null,reducedErrorPruning,false,null,true,weka.attributeSelection.BestFirst,true,true,null,true,true,rmse,MajorityVotingAggregator,false,true,10,null,null,3,false,null,null,false,3,null,0.9993872845767177,null
gen_000_ind_009,false,reducedErrorPruning,true,true,0.25,1,false,true,0,1,true,true,null,true,null,5,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,3,true,true,auc,CompetenceBasedAggregator,true,true,7,2,null,null,false,3,null,true,7,null,0.9993226231611088,null
gen_000_ind_010,true,confidenceFactor,false,false,0.25,10,false,true,null,null,true,true,0.45,true,6,2,null,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,mae,MajorityVotingAggregator,false,true,6,2,9,null,true,null,true,false,8,false,0.9994294910734787,null
gen_000_ind_011,true,reducedErrorPruning,false,true,null,1,false,true,1,6,true,true,null,true,null,8,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,RuleExtractorAggregator,false,true,10,5,null,null,true,2,null,false,2,null,0.9140973092968018,null
gen_000_ind_012,null,reducedErrorPruning,true,true,null,10,true,false,null,null,true,true,null,true,null,4,true,unpruned,true,null,true,weka.attributeSelection.GreedyStepwise,false,true,8,true,true,auc,RuleExtractorAggregator,true,true,9,null,null,null,false,4,true,true,5,false,0.9717294259432467,null
gen_000_ind_013,true,confidenceFactor,true,true,null,4,false,true,null,null,true,true,0.05,true,null,9,true,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,auc,CompetenceBasedAggregator,true,true,8,4,null,null,false,null,false,false,5,false,0.9992883553955394,null
gen_000_ind_014,true,reducedErrorPruning,false,true,0.05,1,false,true,1,3,true,true,null,true,null,9,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,acc,RuleExtractorAggregator,false,true,8,6,null,null,true,6,null,false,2,null,0.9847638037543254,null
gen_000_ind_015,false,reducedErrorPruning,true,false,null,7,false,true,null,null,true,true,null,true,null,3,true,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,2,true,false,mae,RuleExtractorAggregator,false,true,9,8,null,9,false,3,false,false,10,false,0.9009212954799108,null
gen_000_ind_016,true,confidenceFactor,true,true,null,null,false,true,null,null,true,false,0.25,true,4,4,false,unpruned,null,true,true,null,true,true,5,false,false,null,CompetenceBasedAggregator,true,false,7,2,4,null,true,null,null,true,2,null,0.999522572887456,null
gen_000_ind_017,false,confidenceFactor,false,true,0.45,null,false,true,null,null,true,false,0.25,true,9,4,null,confidenceFactor,null,true,true,null,false,true,null,false,true,null,RuleExtractorAggregator,false,true,3,2,2,null,false,null,null,true,8,null,0.9816441552841555,null
gen_000_ind_018,false,unpruned,true,null,0.15,null,true,true,null,null,true,false,null,true,null,10,true,confidenceFactor,null,false,false,null,false,true,3,true,false,null,RuleExtractorAggregator,false,false,2,2,null,null,true,null,null,false,9,null,0.9661798444624072,null
gen_000_ind_019,false,reducedErrorPruning,true,true,0.25,5,false,true,null,null,true,true,null,true,1,10,false,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,2,false,false,auc,CompetenceBasedAggregator,false,true,4,10,6,null,true,4,false,false,10,true,0.9989698772491235,null
gen_000_ind_020,true,unpruned,true,null,null,2,false,true,null,null,true,true,null,true,null,2,false,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,9,true,false,auc,MajorityVotingAggregator,false,true,4,2,null,null,false,null,true,false,6,false,0.9992241821346738,null
gen_000_ind_021,true,unpruned,false,null,0.45,null,false,true,null,null,true,false,null,true,10,3,null,confidenceFactor,null,true,true,null,false,true,null,false,false,null,CompetenceBasedAggregator,false,true,10,6,2,null,true,null,null,true,7,null,0.9985251416197103,null
gen_000_ind_022,null,unpruned,null,null,null,8,false,false,2,5,true,true,null,false,null,null,null,null,false,null,null,weka.attributeSelection.BestFirst,null,false,null,null,null,acc,CompetenceBasedAggregator,false,false,null,null,null,null,false,null,null,false,6,null,0.9994259419420264,null
gen_000_ind_023,null,unpruned,true,null,null,2,true,false,null,null,true,true,null,true,null,5,false,unpruned,false,null,false,weka.attributeSelection.GreedyStepwise,false,true,9,false,true,rmse,RuleExtractorAggregator,false,true,2,null,null,null,true,null,false,false,8,true,0.9281773247228736,null
gen_000_ind_024,true,reducedErrorPruning,true,true,null,1,true,true,1,6,true,true,null,true,null,7,true,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,6,true,false,acc,MajorityVotingAggregator,false,false,10,10,null,null,false,5,null,false,6,null,0.9993856771538774,null
gen_000_ind_025,null,confidenceFactor,false,true,null,3,true,false,2,7,true,true,0.15,true,null,4,null,reducedErrorPruning,false,null,true,weka.attributeSelection.BestFirst,false,true,null,false,true,rmse,RuleExtractorAggregator,false,true,6,null,null,8,false,null,null,false,7,null,0.9568248718291134,null
gen_000_ind_026,true,reducedErrorPruning,true,true,0.45,1,true,true,2,4,true,true,null,true,2,2,true,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,4,true,false,auc,RuleExtractorAggregator,false,true,6,2,4,null,false,5,null,false,6,null,0.9493599757868502,null
gen_000_ind_027,false,unpruned,false,null,null,3,true,true,null,null,true,true,null,true,null,4,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,true,true,2,2,null,null,false,null,true,false,2,true,0.9992832785742405,null
gen_000_ind_028,false,unpruned,true,null,null,6,false,true,1,1,true,true,null,false,8,null,false,null,false,true,null,weka.attributeSelection.BestFirst,null,true,4,true,null,auc,CompetenceBasedAggregator,false,true,3,6,6,null,true,null,null,true,2,null,0.9992827980069624,null
gen_000_ind_029,false,unpruned,false,null,0.05,5,true,true,1,5,true,true,null,true,null,2,null,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,RuleExtractorAggregator,true,false,7,10,null,null,true,null,null,true,2,null,0.9694053125485474,null
gen_000_ind_030,false,unpruned,true,null,0.05,3,false,true,null,null,true,true,null,true,7,9,false,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,8,true,false,auc,MajorityVotingAggregator,false,false,2,10,2,null,true,null,false,false,9,true,0.9992701773432799,null
gen_000_ind_031,null,confidenceFactor,false,true,null,9,false,false,1,7,true,true,0.45,false,null,null,null,null,false,null,null,weka.attributeSelection.BestFirst,null,true,null,false,null,auc,MajorityVotingAggregator,true,true,3,null,null,null,true,null,null,true,9,null,0.999338397671702,null
gen_000_ind_032,false,confidenceFactor,false,false,0.25,5,false,true,0,5,true,true,0.25,true,null,2,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,RuleExtractorAggregator,false,true,2,9,null,null,true,null,null,false,7,null,0.8828719348121501,null
gen_000_ind_033,false,reducedErrorPruning,null,true,null,null,false,true,null,null,true,false,null,true,2,9,null,unpruned,null,true,true,null,false,false,null,null,true,null,CompetenceBasedAggregator,false,true,null,10,4,null,false,3,null,true,4,null,0.9982149758076483,null
gen_000_ind_034,true,unpruned,false,null,null,null,false,true,null,null,true,false,null,true,7,2,null,reducedErrorPruning,null,true,true,null,false,true,null,false,true,null,RuleExtractorAggregator,false,true,6,10,4,6,true,null,null,false,8,null,0.9792509650124039,null
gen_000_ind_035,true,unpruned,true,null,0.35,null,true,true,null,null,true,false,null,true,null,8,true,confidenceFactor,null,false,true,null,true,true,8,false,true,null,MajorityVotingAggregator,false,true,2,7,null,null,true,null,null,false,3,null,0.9983057296338176,null
gen_000_ind_036,true,confidenceFactor,false,true,null,10,false,true,2,5,true,true,0.25,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,true,null,acc,MajorityVotingAggregator,true,true,8,4,null,null,true,null,null,true,5,null,0.9993325573889168,null
gen_000_ind_037,false,confidenceFactor,true,true,0.35,2,true,true,null,null,true,true,0.35,true,null,9,true,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,3,false,true,auc,RuleExtractorAggregator,true,true,6,4,null,null,true,null,false,false,2,false,0.9398340661262408,null
gen_000_ind_038,true,confidenceFactor,true,true,null,9,false,true,0,4,true,true,0.05,true,5,10,false,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,3,false,false,auc,RuleExtractorAggregator,true,true,3,3,2,null,true,null,null,false,7,null,0.9683275276761097,null
gen_000_ind_039,false,unpruned,false,null,0.15,1,true,true,2,9,true,true,null,true,7,5,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,MajorityVotingAggregator,false,true,5,5,7,null,false,null,null,false,3,null,0.9993703308794737,null
gen_000_ind_040,false,confidenceFactor,true,true,null,2,true,true,null,null,true,true,0.15,true,2,9,false,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,3,false,true,auc,MajorityVotingAggregator,false,true,3,2,9,8,true,null,true,true,6,false,0.9990549650219076,null
gen_000_ind_041,true,reducedErrorPruning,false,true,null,1,true,true,null,null,true,true,null,true,2,8,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,auc,MajorityVotingAggregator,false,true,7,2,8,null,false,10,false,false,10,false,0.9993644647488635,null
gen_000_ind_042,true,null,false,null,0.35,null,null,true,null,null,false,false,null,true,null,10,null,confidenceFactor,null,false,true,null,false,true,null,false,true,null,MajorityVotingAggregator,null,null,10,3,null,null,null,null,null,null,null,null,0.9980902936638737,null
gen_000_ind_043,false,reducedErrorPruning,true,true,null,null,true,true,null,null,true,false,null,true,5,3,false,unpruned,null,true,false,null,true,true,5,true,false,null,RuleExtractorAggregator,true,false,9,2,6,null,true,9,null,false,5,null,0.9474507051853213,null
gen_000_ind_044,false,null,false,null,null,2,null,true,2,6,false,true,null,true,null,3,null,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,null,null,4,2,null,3,null,null,null,null,null,null,0.9992816134017891,null
gen_000_ind_045,false,reducedErrorPruning,false,false,0.15,9,true,true,0,9,true,true,null,true,null,9,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,MajorityVotingAggregator,false,false,6,10,null,null,true,3,null,false,8,null,0.9992078615318782,null
gen_000_ind_046,true,unpruned,true,null,0.05,2,false,true,0,6,true,true,null,true,8,4,true,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,6,true,false,auc,RuleExtractorAggregator,true,true,4,10,8,null,true,null,null,false,5,null,0.9270441005775452,null
gen_000_ind_047,null,reducedErrorPruning,true,false,null,null,true,false,null,null,true,false,null,true,null,5,true,unpruned,null,null,false,null,false,true,5,true,false,null,RuleExtractorAggregator,false,false,2,null,null,null,true,3,null,true,6,null,0.9804832752405426,null
gen_000_ind_048,false,unpruned,false,null,0.45,3,false,true,0,7,true,true,null,true,null,10,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,rmse,MajorityVotingAggregator,true,true,8,2,null,null,true,null,null,true,6,null,0.9992687224044456,null
gen_000_ind_049,false,confidenceFactor,false,false,null,1,false,true,2,8,true,true,0.35,true,5,8,null,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,true,acc,RuleExtractorAggregator,false,true,4,4,3,null,true,null,null,false,2,null,0.9712500537637453,null
gen_000_ind_050,true,unpruned,false,null,null,4,true,true,2,5,true,true,null,true,null,7,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,acc,CompetenceBasedAggregator,true,true,3,4,null,10,false,null,null,false,9,null,0.9994095572427002,null
gen_000_ind_051,false,reducedErrorPruning,false,false,null,1,false,true,null,null,true,true,null,true,9,7,null,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,CompetenceBasedAggregator,true,true,10,9,5,2,true,4,true,false,8,false,0.999134227298833,null
gen_000_ind_052,false,reducedErrorPruning,false,false,null,5,false,true,null,null,true,true,null,true,10,3,null,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,MajorityVotingAggregator,false,true,10,2,8,3,false,9,true,true,3,true,0.9994204795041902,null
gen_000_ind_053,true,unpruned,null,null,0.45,1,true,true,null,null,true,true,null,true,2,3,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,acc,CompetenceBasedAggregator,true,false,null,5,5,null,true,null,false,true,7,false,0.9994416031955083,null
gen_000_ind_054,false,reducedErrorPruning,false,false,null,9,false,true,null,null,true,true,null,true,10,5,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,rmse,CompetenceBasedAggregator,false,true,6,6,7,null,true,3,true,false,8,true,0.9993305231691666,null
gen_000_ind_055,null,null,true,null,null,6,null,false,1,1,false,true,null,true,null,2,false,unpruned,false,null,false,weka.attributeSelection.BestFirst,true,true,4,true,false,auc,CompetenceBasedAggregator,null,null,2,null,null,null,null,null,null,null,null,null,0.9992600231859816,null
gen_000_ind_056,false,reducedErrorPruning,false,true,null,1,false,true,null,null,true,true,null,false,null,null,null,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,null,false,null,rmse,MajorityVotingAggregator,true,true,8,2,null,null,true,5,false,true,5,false,0.9993533303449121,null
gen_000_ind_057,true,reducedErrorPruning,false,true,null,1,true,true,1,4,true,true,null,true,null,3,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,RuleExtractorAggregator,true,true,5,7,null,null,true,9,null,false,6,null,0.8739591241618218,null
gen_000_ind_058,true,unpruned,false,null,null,10,false,true,0,1,true,true,null,true,null,5,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,true,rmse,RuleExtractorAggregator,true,true,4,3,null,null,true,null,null,false,7,null,0.9068380791803385,null
gen_000_ind_059,true,confidenceFactor,true,true,null,null,false,true,null,null,true,false,0.15,true,4,10,false,unpruned,null,true,true,null,false,true,10,true,true,null,MajorityVotingAggregator,true,true,5,7,7,null,false,null,null,true,6,null,0.9991234092829231,null
gen_000_ind_060,true,reducedErrorPruning,true,true,null,1,false,true,null,null,true,true,null,true,null,7,false,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,false,rmse,RuleExtractorAggregator,false,true,4,3,null,7,false,4,false,true,2,false,0.9974970394674033,null
gen_000_ind_061,null,confidenceFactor,true,false,null,2,false,false,null,null,true,true,0.25,true,null,2,false,unpruned,true,null,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,true,mae,MajorityVotingAggregator,true,true,3,null,null,null,true,null,false,false,9,false,0.9992581934922219,null
gen_000_ind_062,true,unpruned,true,null,0.05,6,false,true,null,null,true,true,null,true,10,7,true,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,5,false,false,acc,MajorityVotingAggregator,false,false,9,2,7,null,true,null,false,false,10,true,0.9992607600385064,null
gen_000_ind_063,true,confidenceFactor,false,true,null,6,false,true,0,6,true,true,0.45,true,null,7,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,false,false,rmse,MajorityVotingAggregator,true,false,5,8,null,null,false,null,null,false,4,null,0.9993662722659238,null
gen_000_ind_064,null,reducedErrorPruning,false,true,0.15,8,false,false,null,null,true,true,null,true,null,2,null,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,MajorityVotingAggregator,false,true,4,null,null,null,false,6,true,true,7,false,0.9993995726575043,null
gen_000_ind_065,true,unpruned,null,null,null,3,false,true,1,5,true,true,null,true,null,4,null,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,true,false,null,null,false,rmse,CompetenceBasedAggregator,true,true,null,3,null,7,true,null,null,true,9,null,0.9994420406615356,null
gen_000_ind_066,true,unpruned,false,null,0.25,1,true,true,null,null,true,true,null,true,3,4,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,acc,RuleExtractorAggregator,false,false,7,5,10,null,false,null,true,false,3,true,0.9272201324845033,null
gen_000_ind_067,false,confidenceFactor,false,false,null,8,false,true,null,null,true,true,0.05,true,3,2,null,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,RuleExtractorAggregator,true,false,3,2,6,8,false,null,true,false,3,true,0.9694401166933728,null
gen_000_ind_068,true,unpruned,true,null,null,7,false,true,1,7,true,true,null,true,2,3,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,3,true,true,auc,MajorityVotingAggregator,false,false,9,9,3,null,true,null,null,true,3,null,0.9993352417432462,null
gen_000_ind_069,true,unpruned,true,null,null,6,false,true,null,null,true,true,null,true,9,8,false,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,6,false,false,auc,CompetenceBasedAggregator,false,true,7,3,10,8,true,null,false,true,5,false,0.9993119889490577,null
gen_000_ind_070,true,confidenceFactor,false,true,null,1,true,true,1,5,true,true,0.05,false,9,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,acc,MajorityVotingAggregator,true,true,2,6,9,null,true,null,null,true,2,null,0.9995308580003275,null
gen_000_ind_071,null,confidenceFactor,true,true,0.45,1,true,false,null,null,true,true,0.05,true,null,6,false,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,2,true,false,mae,MajorityVotingAggregator,true,true,5,null,null,null,true,null,true,false,8,true,0.9992891416711245,null
gen_000_ind_072,true,unpruned,true,null,0.45,8,true,true,1,1,true,true,null,true,null,6,false,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,4,false,true,auc,CompetenceBasedAggregator,true,false,2,9,null,null,false,null,null,true,2,null,0.9993946950581852,null
gen_000_ind_073,true,unpruned,true,null,null,null,false,true,null,null,true,false,null,false,9,null,false,null,null,true,null,null,null,true,6,true,null,null,CompetenceBasedAggregator,false,true,2,9,4,null,true,null,null,false,10,null,0.9980386750350656,null
gen_000_ind_074,true,null,false,null,null,8,null,true,null,null,false,true,null,true,null,5,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,null,null,5,2,null,null,null,null,false,null,null,true,0.9990368229124474,null
gen_000_ind_075,false,reducedErrorPruning,null,true,null,10,true,true,1,3,true,true,null,true,7,3,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,rmse,RuleExtractorAggregator,true,false,null,10,4,3,false,9,null,false,5,null,0.9722170169116918,null
gen_000_ind_076,false,unpruned,false,null,null,1,true,true,0,7,true,true,null,true,null,7,null,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,true,false,8,4,null,9,false,null,null,true,2,null,0.9993837868158778,null
gen_000_ind_077,false,unpruned,false,null,null,5,true,true,2,10,true,true,null,true,6,5,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,RuleExtractorAggregator,false,true,2,8,3,7,true,null,null,false,10,null,0.9776105475956711,null
gen_000_ind_078,true,reducedErrorPruning,true,true,0.05,10,false,true,2,5,true,true,null,true,2,10,true,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,4,false,false,auc,RuleExtractorAggregator,false,true,7,6,9,null,true,8,null,false,3,null,0.9934469565459769,null
gen_000_ind_079,false,confidenceFactor,false,true,0.35,4,true,true,null,null,true,true,0.25,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,mae,CompetenceBasedAggregator,false,false,2,2,null,null,true,null,false,false,2,false,0.9995624024511661,null
gen_000_ind_080,false,confidenceFactor,false,false,0.15,9,true,true,0,7,true,true,0.25,true,9,5,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,null,false,true,rmse,MajorityVotingAggregator,true,true,5,6,3,null,true,null,null,false,6,null,0.9993421942998542,null
gen_000_ind_081,false,confidenceFactor,false,false,null,8,true,true,null,null,true,true,0.25,false,2,null,null,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,false,null,acc,RuleExtractorAggregator,false,false,5,2,10,null,true,null,true,true,10,true,0.9988443844717823,null
gen_000_ind_082,null,unpruned,true,null,0.05,9,true,false,1,6,true,true,null,true,null,3,false,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,true,true,7,true,false,auc,CompetenceBasedAggregator,true,true,2,null,null,null,true,null,null,true,9,null,0.9994121123139259,null
gen_000_ind_083,false,confidenceFactor,false,true,null,9,true,true,1,3,true,true,0.45,true,7,2,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,CompetenceBasedAggregator,false,false,2,2,10,5,true,null,null,false,7,null,0.9995341846267953,null
gen_000_ind_084,false,confidenceFactor,false,false,0.45,2,false,true,null,null,true,true,0.25,true,2,3,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,acc,RuleExtractorAggregator,true,false,3,2,9,null,false,null,true,false,6,false,0.9755527716501528,null
gen_000_ind_085,false,unpruned,false,null,null,6,true,true,1,10,true,true,null,true,null,2,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,acc,RuleExtractorAggregator,true,true,8,9,null,2,false,null,null,false,4,null,0.9349477414651648,null
gen_000_ind_086,true,unpruned,true,null,null,6,true,true,null,null,true,true,null,true,7,5,false,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,7,false,false,rmse,CompetenceBasedAggregator,false,true,4,10,3,4,true,null,false,true,9,false,0.999111015516041,null
gen_000_ind_087,false,unpruned,false,null,null,1,true,true,1,5,true,true,null,false,3,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,false,null,rmse,MajorityVotingAggregator,true,true,9,7,10,null,true,null,null,false,7,null,0.9993679291416848,null
gen_000_ind_088,true,null,false,null,0.35,8,null,true,2,5,false,true,null,true,10,3,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,null,false,true,rmse,MajorityVotingAggregator,null,null,7,2,5,null,null,null,null,null,null,null,0.9993812149090309,null
gen_000_ind_089,false,confidenceFactor,true,true,0.05,10,true,true,null,null,true,true,0.15,true,10,2,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,2,false,false,mae,CompetenceBasedAggregator,false,false,9,3,8,null,false,null,false,true,9,true,0.9992677719096346,null
gen_000_ind_090,null,unpruned,true,null,0.25,1,false,false,1,8,true,true,null,true,null,4,true,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,false,true,9,true,true,mae,MajorityVotingAggregator,true,false,2,null,null,null,true,null,null,true,6,null,0.9995036485918579,null
gen_000_ind_091,false,reducedErrorPruning,false,false,null,1,false,true,2,6,true,true,null,true,10,6,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,null,true,false,rmse,CompetenceBasedAggregator,false,false,6,5,2,6,false,4,null,false,8,null,0.9991837795664675,null
gen_000_ind_092,true,confidenceFactor,true,false,null,1,true,true,null,null,true,true,0.25,true,null,4,false,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,9,false,false,acc,RuleExtractorAggregator,false,false,8,4,null,10,false,null,false,false,9,false,0.9803321730340027,null
gen_000_ind_093,true,unpruned,true,null,null,7,false,true,2,9,true,true,null,true,null,3,false,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,3,false,false,auc,RuleExtractorAggregator,true,false,7,2,null,null,true,null,null,false,2,null,0.8757888633061393,null
gen_000_ind_094,null,confidenceFactor,true,false,null,9,false,false,1,5,true,true,0.05,true,null,10,true,unpruned,false,null,false,weka.attributeSelection.BestFirst,true,true,5,true,true,auc,RuleExtractorAggregator,false,true,3,null,null,null,true,null,null,true,8,null,0.9407161448717485,null
